type,i_located,average_pearsonr,average_r2,average_mae,model,order
Seq-CV,4,0.5032520597422447,0.2066071098676424,1.2939661333333332,IGN,5
Seq-CV,5,0.5338230074574252,0.2574002797943104,1.2607943,IGN,5
Seq-CV,6,0.517024379645229,0.2298769943546105,1.2806738333333332,IGN,5
Seq-CV,7,0.4588957565981154,0.12780478591057115,1.34890303,IGN,5
Seq-CV,8,0.4756896080871749,0.16973279629799165,1.3383876333333329,IGN,5
Seq-CV,9,0.5315374576508948,0.2388321195097821,1.2727342333333336,IGN,5
Seq-CV,10,0.502864166281471,0.19097127270910344,1.3063501,IGN,5
Pfam-CV,1,0.4953,-0.23946666666666666,1.6156666666666666,LR::VR1,10
Pfam-CV,2,0.4887666666666666,-0.2284,1.6182,LR::VR1,10
Pfam-CV,3,0.4879333333333333,-0.22136666666666668,1.6058333333333337,LR::VR1,10
Pfam-CV,4,0.5004,-0.25220000000000004,1.6218,LR::VR1,10
Pfam-CV,5,0.4838333333333333,-0.2300333333333333,1.595133333333333,LR::VR1,10
Pfam-CV,6,0.4910000000000001,-0.2749,1.6341,LR::VR1,10
Pfam-CV,7,0.4966,-0.2416,1.6162333333333334,LR::VR1,10
Pfam-CV,8,0.4851333333333334,-0.2575666666666667,1.6179,LR::VR1,10
Pfam-CV,9,0.4882333333333333,-0.26676666666666665,1.6179333333333334,LR::VR1,10
Pfam-CV,10,0.4979333333333333,-0.2728,1.6477333333333333,LR::VR1,10
Seq-CV,1,0.4913666666666667,-0.22503333333333334,1.5874,LR::VR1,10
Seq-CV,2,0.5029,-0.2013,1.5911,LR::VR1,10
Seq-CV,3,0.4961666666666666,-0.2294,1.604,LR::VR1,10
Seq-CV,4,0.4993333333333334,-0.21483333333333327,1.6024333333333332,LR::VR1,10
Seq-CV,5,0.4976,-0.1904333333333333,1.5757333333333332,LR::VR1,10
Seq-CV,6,0.4967333333333333,-0.1884333333333333,1.587,LR::VR1,10
Seq-CV,7,0.4953,-0.20376666666666665,1.5778,LR::VR1,10
Seq-CV,8,0.4994333333333333,-0.19699999999999998,1.5921333333333336,LR::VR1,10
Seq-CV,9,0.4957666666666666,-0.22333333333333336,1.6031666666666666,LR::VR1,10
Seq-CV,10,0.4945666666666666,-0.2300333333333333,1.6095666666666666,LR::VR1,10
Random-CV,1,0.5136666666666666,-0.1289,1.5466,LR::VR1,10
Random-CV,2,0.5134666666666666,-0.13126666666666667,1.5490666666666666,LR::VR1,10
Random-CV,3,0.5135,-0.12623333333333334,1.546366666666667,LR::VR1,10
Random-CV,4,0.5151666666666667,-0.12526666666666667,1.5457999999999998,LR::VR1,10
Random-CV,5,0.5146333333333334,-0.12553333333333333,1.5463000000000002,LR::VR1,10
Random-CV,6,0.5149666666666667,-0.1282,1.5471666666666666,LR::VR1,10
Random-CV,7,0.5138333333333334,-0.12703333333333333,1.5464666666666669,LR::VR1,10
Random-CV,8,0.5137333333333333,-0.12656666666666666,1.5454333333333332,LR::VR1,10
Random-CV,9,0.5154333333333333,-0.12586666666666665,1.546166666666667,LR::VR1,10
Random-CV,10,0.5149333333333334,-0.12539999999999998,1.5456333333333332,LR::VR1,10
Pfam-CV,1,0.5486,0.28146666666666664,1.2441666666666666,XGB::VR1,6
Pfam-CV,2,0.5452333333333333,0.2812333333333333,1.2516,XGB::VR1,6
Pfam-CV,3,0.5379333333333333,0.2668333333333333,1.2548666666666666,XGB::VR1,6
Pfam-CV,4,0.5506666666666667,0.2814666666666667,1.2406666666666668,XGB::VR1,6
Pfam-CV,5,0.5475,0.28400000000000003,1.2381,XGB::VR1,6
Pfam-CV,6,0.5367000000000001,0.2606,1.2612333333333332,XGB::VR1,6
Pfam-CV,7,0.5439999999999999,0.2761333333333333,1.2483666666666666,XGB::VR1,6
Pfam-CV,8,0.5280999999999999,0.2599666666666667,1.2539,XGB::VR1,6
Pfam-CV,9,0.5489666666666667,0.2792000000000001,1.2391666666666667,XGB::VR1,6
Pfam-CV,10,0.5461333333333332,0.2808,1.2561,XGB::VR1,6
Seq-CV,1,0.5427666666666667,0.2761333333333333,1.2375,XGB::VR1,6
Seq-CV,2,0.5602666666666666,0.3008666666666666,1.2283666666666666,XGB::VR1,6
Seq-CV,3,0.5631,0.29656666666666665,1.2258666666666669,XGB::VR1,6
Seq-CV,4,0.5577666666666667,0.2947666666666667,1.2276333333333334,XGB::VR1,6
Seq-CV,5,0.5423,0.2695333333333333,1.2465666666666666,XGB::VR1,6
Seq-CV,6,0.5572,0.29846666666666666,1.2302,XGB::VR1,6
Seq-CV,7,0.5622333333333333,0.299,1.2223333333333335,XGB::VR1,6
Seq-CV,8,0.5498333333333333,0.2889,1.2430666666666663,XGB::VR1,6
Seq-CV,9,0.5657,0.30663333333333337,1.2237666666666671,XGB::VR1,6
Seq-CV,10,0.5555333333333334,0.2910333333333333,1.2303,XGB::VR1,6
Random-CV,1,0.6787333333333333,0.4601333333333333,1.0759999999999998,XGB::VR1,6
Random-CV,2,0.6778,0.4587666666666667,1.0790333333333333,XGB::VR1,6
Random-CV,3,0.6778333333333334,0.4587000000000001,1.0779,XGB::VR1,6
Random-CV,4,0.6785666666666667,0.4596,1.0749666666666666,XGB::VR1,6
Random-CV,5,0.6800666666666667,0.462,1.0747666666666669,XGB::VR1,6
Random-CV,6,0.6781333333333334,0.4591333333333333,1.0783,XGB::VR1,6
Random-CV,7,0.6779999999999999,0.4589333333333334,1.0760666666666665,XGB::VR1,6
Random-CV,8,0.6787000000000001,0.4599666666666666,1.0773,XGB::VR1,6
Random-CV,9,0.6822,0.4647333333333334,1.0736666666666668,XGB::VR1,6
Random-CV,10,0.6801666666666667,0.4620333333333333,1.0758,XGB::VR1,6
Pfam-CV,1,0.5832666666666667,0.33116666666666666,1.2033666666666667,RF-Score,3
Pfam-CV,2,0.5780333333333334,0.3280666666666667,1.2095333333333331,RF-Score,3
Pfam-CV,3,0.5747333333333334,0.31983333333333336,1.2127666666666668,RF-Score,3
Pfam-CV,4,0.5763666666666667,0.3221333333333333,1.2069666666666663,RF-Score,3
Pfam-CV,5,0.5820000000000001,0.3327333333333333,1.1976333333333329,RF-Score,3
Pfam-CV,6,0.5724666666666667,0.3129,1.2195,RF-Score,3
Pfam-CV,7,0.5795666666666667,0.3265666666666667,1.2073333333333334,RF-Score,3
Pfam-CV,8,0.5595,0.3051,1.2187333333333334,RF-Score,3
Pfam-CV,9,0.5775,0.3174666666666666,1.2084666666666666,RF-Score,3
Pfam-CV,10,0.5815,0.3287333333333333,1.2156333333333336,RF-Score,3
Seq-CV,1,0.5686333333333333,0.3148,1.2043333333333333,RF-Score,3
Seq-CV,2,0.5879,0.3375,1.1959333333333335,RF-Score,3
Seq-CV,3,0.5854,0.3320333333333333,1.1958666666666666,RF-Score,3
Seq-CV,4,0.5909,0.3400333333333333,1.1921,RF-Score,3
Seq-CV,5,0.5795,0.32726666666666665,1.1967,RF-Score,3
Seq-CV,6,0.5913,0.3426,1.1945666666666668,RF-Score,3
Seq-CV,7,0.5922666666666667,0.34126666666666666,1.1904333333333332,RF-Score,3
Seq-CV,8,0.5848333333333332,0.3375666666666666,1.2005333333333332,RF-Score,3
Seq-CV,9,0.5894666666666667,0.3388,1.1986,RF-Score,3
Seq-CV,10,0.5816,0.33076666666666665,1.1977,RF-Score,3
Random-CV,1,0.6985999999999999,0.4838666666666666,1.0552666666666666,RF-Score,3
Random-CV,2,0.6961333333333334,0.4805666666666666,1.0583,RF-Score,3
Random-CV,3,0.6967,0.4805666666666666,1.0589,RF-Score,3
Random-CV,4,0.6978,0.4825,1.0559,RF-Score,3
Random-CV,5,0.6975000000000001,0.4825,1.0561999999999998,RF-Score,3
Random-CV,6,0.6972333333333333,0.4822,1.0573,RF-Score,3
Random-CV,7,0.6966,0.4812,1.0575333333333334,RF-Score,3
Random-CV,8,0.6958333333333334,0.4805,1.0586,RF-Score,3
Random-CV,9,0.6973666666666668,0.4824666666666666,1.0582,RF-Score,3
Random-CV,10,0.6983333333333333,0.4829666666666667,1.0554,RF-Score,3
Pfam-CV,1,0.5465,0.2762,1.2599,NNScore,8
Pfam-CV,2,0.5539999999999999,0.29546666666666666,1.2455333333333334,NNScore,8
Pfam-CV,3,0.5491666666666667,0.2865,1.2524,NNScore,8
Pfam-CV,4,0.5515,0.2855666666666667,1.2467333333333337,NNScore,8
Pfam-CV,5,0.5522,0.2949333333333333,1.2325666666666668,NNScore,8
Pfam-CV,6,0.5322,0.2477333333333333,1.2761000000000002,NNScore,8
Pfam-CV,7,0.5527666666666667,0.2852333333333333,1.2485,NNScore,8
Pfam-CV,8,0.5355333333333333,0.2615,1.2580333333333331,NNScore,8
Pfam-CV,9,0.5422666666666668,0.2634333333333333,1.2577999999999998,NNScore,8
Pfam-CV,10,0.5418,0.27540000000000003,1.2649333333333337,NNScore,8
Seq-CV,1,0.5575,0.2983,1.2204,NNScore,8
Seq-CV,2,0.5546333333333333,0.29613333333333336,1.2348333333333332,NNScore,8
Seq-CV,3,0.5583333333333333,0.2962333333333333,1.2233333333333334,NNScore,8
Seq-CV,4,0.5655666666666667,0.30446666666666666,1.2248333333333334,NNScore,8
Seq-CV,5,0.5627666666666666,0.3035666666666667,1.2222333333333333,NNScore,8
Seq-CV,6,0.5676666666666667,0.31220000000000003,1.2217,NNScore,8
Seq-CV,7,0.5654666666666667,0.3044333333333333,1.2229666666666663,NNScore,8
Seq-CV,8,0.5716000000000001,0.3191,1.2191,NNScore,8
Seq-CV,9,0.5710666666666667,0.31560000000000005,1.2222666666666668,NNScore,8
Seq-CV,10,0.5655333333333333,0.3080333333333333,1.2183666666666666,NNScore,8
Random-CV,1,0.6624666666666666,0.4384666666666666,1.1058666666666666,NNScore,8
Random-CV,2,0.6645333333333333,0.44106666666666666,1.1040333333333334,NNScore,8
Random-CV,3,0.6672666666666666,0.4445000000000001,1.1002999999999998,NNScore,8
Random-CV,4,0.6623333333333333,0.4382,1.1033333333333335,NNScore,8
Random-CV,5,0.6642333333333332,0.44083333333333335,1.1045,NNScore,8
Random-CV,6,0.6602333333333333,0.4356,1.1106333333333334,NNScore,8
Random-CV,7,0.6629999999999999,0.4392333333333333,1.1052,NNScore,8
Random-CV,8,0.6612333333333332,0.4368333333333333,1.1072,NNScore,8
Random-CV,9,0.6641666666666667,0.4407666666666667,1.1038666666666666,NNScore,8
Random-CV,10,0.6611333333333334,0.4366333333333334,1.1095333333333337,NNScore,8
Pfam-CV,1,0.5248333333333334,0.2386,1.2851,Onionnet,2
Pfam-CV,2,0.5055333333333333,0.21906666666666666,1.3042333333333334,Onionnet,2
Pfam-CV,3,0.5130666666666667,0.2196,1.3023333333333331,Onionnet,2
Pfam-CV,4,0.4796666666666667,0.16583333333333333,1.3365333333333334,Onionnet,2
Pfam-CV,5,0.5050666666666667,0.2226,1.2940333333333331,Onionnet,2
Pfam-CV,6,0.4616666666666666,0.11776666666666664,1.3792666666666669,Onionnet,2
Pfam-CV,7,0.4813333333333333,0.15256666666666666,1.3482333333333336,Onionnet,2
Pfam-CV,8,0.4871000000000001,0.1728666666666667,1.3313333333333337,Onionnet,2
Pfam-CV,9,0.5037333333333334,0.19513333333333333,1.3135666666666663,Onionnet,2
Pfam-CV,10,0.5004000000000001,0.1809,1.3272333333333333,Onionnet,2
Random-CV,1,0.7061999999999999,0.4968,1.0245,Onionnet,2
Random-CV,2,0.7039333333333334,0.4938,1.0256,Onionnet,2
Random-CV,3,0.7017333333333333,0.4899666666666666,1.0277,Onionnet,2
Random-CV,4,0.7067333333333333,0.4981666666666666,1.021766666666667,Onionnet,2
Random-CV,5,0.7011666666666666,0.4884666666666666,1.0326,Onionnet,2
Random-CV,6,0.7063333333333333,0.4962666666666666,1.0258,Onionnet,2
Random-CV,7,0.7065666666666667,0.4983,1.0217333333333334,Onionnet,2
Random-CV,8,0.6995666666666667,0.4868666666666666,1.0341666666666671,Onionnet,2
Random-CV,9,0.7090666666666667,0.4999666666666666,1.0227666666666666,Onionnet,2
Random-CV,10,0.7010333333333333,0.4869666666666667,1.0327,Onionnet,2
Seq-CV,1,0.5070666666666667,0.22399999999999998,1.2831,Onionnet,2
Seq-CV,2,0.5278333333333333,0.2526,1.2685333333333333,Onionnet,2
Seq-CV,3,0.5269666666666666,0.2422333333333333,1.2684,Onionnet,2
Seq-CV,4,0.5412333333333333,0.2654,1.2641,Onionnet,2
Seq-CV,5,0.5290333333333334,0.2502,1.2698333333333334,Onionnet,2
Seq-CV,6,0.521466666,0.23183333,1.288066666,Onionnet,2
Seq-CV,7,0.5261333333333332,0.2406666666666667,1.2732333333333334,Onionnet,2
Seq-CV,8,0.5256,0.2471666666666667,1.2782666666666669,Onionnet,2
Seq-CV,9,0.5394,0.2599,1.2640666666666671,Onionnet,2
Seq-CV,10,0.5260333333333334,0.2465333333333333,1.2716,Onionnet,2
Pfam-CV,1,0.4736430001012984,0.14068251375054466,1.3687771941247249,Pafnucy,9
Pfam-CV,2,0.5232344912548657,0.25196720556197344,1.2804219394503014,Pafnucy,9
Pfam-CV,3,0.509058128316663,0.20700607482646047,1.3098988907124662,Pafnucy,9
Pfam-CV,4,0.4990598184620126,0.17365981781323514,1.336749485351377,Pafnucy,9
Pfam-CV,5,0.521210183262928,0.2291734874113625,1.2845567033757708,Pafnucy,9
Pfam-CV,6,0.513114791500651,0.20549677794672505,1.3074569404298912,Pafnucy,9
Pfam-CV,7,0.5410144816665965,0.24724681536548754,1.2809996832921038,Pafnucy,9
Pfam-CV,8,0.5064167199929478,0.18514999842636,1.319235641872102,Pafnucy,9
Pfam-CV,9,0.535165493387363,0.2349883486321611,1.2776569434299312,Pafnucy,9
Pfam-CV,10,0.5549320498502749,0.2726720275282221,1.2659542449792365,Pafnucy,9
Seq-CV,1,0.5431241352801076,0.2745474146803681,1.2304314161708716,Pafnucy,9
Seq-CV,2,0.5521639250178061,0.28141132920451833,1.2446940107253874,Pafnucy,9
Seq-CV,3,0.5399613383991388,0.26257394216401464,1.2494267494401905,Pafnucy,9
Seq-CV,4,0.5428653134133462,0.2562733998768251,1.2665589541448392,Pafnucy,9
Seq-CV,5,0.5419178616632717,0.2678649699549561,1.2503950317336858,Pafnucy,9
Seq-CV,6,0.5476645767796593,0.2722588833299313,1.258762407445262,Pafnucy,9
Seq-CV,7,0.5712898205880981,0.30638481186273,1.2179257613343892,Pafnucy,9
Seq-CV,8,0.5425311587275766,0.26264738288745954,1.264958336197154,Pafnucy,9
Seq-CV,9,0.5532726242993851,0.26728118471639345,1.2562782478078478,Pafnucy,9
Seq-CV,10,0.5529272771528309,0.2824368167888798,1.2430075894574806,Pafnucy,9
Random-CV,1,0.6527401911798145,0.4232784735518269,1.1176515841719636,Pafnucy,9
Random-CV,2,0.6579424429711495,0.4304984543002585,1.110481884606135,Pafnucy,9
Random-CV,3,0.6418942358530187,0.4033556071370856,1.1384792440103912,Pafnucy,9
Random-CV,4,0.6453077972961769,0.4120271800766944,1.1280343722965391,Pafnucy,9
Random-CV,5,0.6510452681757702,0.4188352505174917,1.1208406364608148,Pafnucy,9
Random-CV,6,0.6495536941404393,0.4122280216999101,1.128004122434638,Pafnucy,9
Random-CV,7,0.6496097168073929,0.4178518663306073,1.1230341737989706,Pafnucy,9
Random-CV,8,0.6483594364993226,0.4153815974646489,1.1255005345468885,Pafnucy,9
Random-CV,9,0.6444193226265086,0.4054559370151926,1.1337593210191688,Pafnucy,9
Random-CV,10,0.6478435891937017,0.4153877535710408,1.1240966816262068,Pafnucy,9
Pfam-CV,1,0.5238136470238096,0.2286881307556998,1.2911150614557212,SGCNN,4
Pfam-CV,2,0.5225101439661727,0.21218644650437504,1.3081771454109774,SGCNN,4
Pfam-CV,3,0.5165633312774185,0.2167218557987705,1.303554710361102,SGCNN,4
Pfam-CV,4,0.5179860528816298,0.1933712386349596,1.3155670597610112,SGCNN,4
Pfam-CV,5,0.5091302342803911,0.193607255770022,1.3187547194960147,SGCNN,4
Pfam-CV,6,0.5036124452020527,0.19094695063147907,1.3110402422091314,SGCNN,4
Pfam-CV,7,0.4979608833946576,0.14836574858719695,1.3534231508024313,SGCNN,4
Pfam-CV,8,0.4931623170281562,0.14560734780995066,1.3438305481932096,SGCNN,4
Pfam-CV,9,0.5144966305786486,0.1962174254413024,1.30048690066317,SGCNN,4
Pfam-CV,10,0.5189474607661683,0.1942937839200197,1.3254338872231606,SGCNN,4
Seq-CV,1,0.5357884869135185,0.2438260279428206,1.2563440470930365,SGCNN,4
Seq-CV,2,0.5430899467285039,0.2635332919651872,1.25801583477745,SGCNN,4
Seq-CV,3,0.5359721803894301,0.2366426194987287,1.2703561163161885,SGCNN,4
Seq-CV,4,0.5640988673629483,0.2677783147921876,1.2520643448184563,SGCNN,4
Seq-CV,5,0.5397594280917194,0.23263013281947464,1.2736054061663131,SGCNN,4
Seq-CV,6,0.5461258246970009,0.250189564284037,1.2691963378205744,SGCNN,4
Seq-CV,7,0.5399740829315872,0.2453473469518146,1.267027487929836,SGCNN,4
Seq-CV,8,0.5502432118618384,0.26897792822814426,1.2555199484233317,SGCNN,4
Seq-CV,9,0.559736117567697,0.2765535896081491,1.2479340394785738,SGCNN,4
Seq-CV,10,0.5583871288096987,0.2943536947826117,1.229486387572757,SGCNN,4
Random-CV,1,0.6846327179605654,0.4629913484760224,1.0728414067718963,SGCNN,4
Random-CV,2,0.6847619690472024,0.4647589851864575,1.0728849948004762,SGCNN,4
Random-CV,3,0.6910246246372124,0.4733199584236066,1.0592630816600177,SGCNN,4
Random-CV,4,0.6900082092918006,0.472283099525161,1.0611899742037447,SGCNN,4
Random-CV,5,0.6933347688403679,0.4709463875449101,1.0601165971318294,SGCNN,4
Random-CV,6,0.6866015606227087,0.4632911765160242,1.068707125699573,SGCNN,4
Random-CV,7,0.6840848014783539,0.4637030298543754,1.068164325530699,SGCNN,4
Random-CV,8,0.6854384182844506,0.4687923814044136,1.0681090299006983,SGCNN,4
Random-CV,9,0.6883933786397366,0.4715323017649307,1.0657913530951622,SGCNN,4
Random-CV,10,0.6906150647413797,0.4717102060551575,1.0611376322252604,SGCNN,4
Seq-CV,1,0.5454341198808151,0.22412458876512129,1.2638463471416068,SIGN,1
Seq-CV,2,0.583189859041716,0.26997153097016685,1.2405621415955996,SIGN,1
Seq-CV,3,0.5759194598324443,0.2716140140038235,1.2364465729634777,SIGN,1
Seq-CV,4,0.565845490768505,0.2586136547576113,1.2523150582029032,SIGN,1
Seq-CV,5,0.5789361464893147,0.2658046161354253,1.245189224375943,SIGN,1
Seq-CV,6,0.5688361357321999,0.2516645979555337,1.2619771599181169,SIGN,1
Seq-CV,7,0.5432253195068004,0.1924622325654396,1.29622902428041,SIGN,1
Seq-CV,8,0.5467375857855279,0.20377359998877528,1.2919814651280477,SIGN,1
Seq-CV,9,0.5688000707969595,0.2570030444301631,1.2487467898866378,SIGN,1
Seq-CV,10,0.5563656259791582,0.2205443407801778,1.2729322945588857,SIGN,1
Pfam-CV,1,0.5322252096313773,0.1414603281151807,1.363735139026877,SIGN,1
Pfam-CV,2,0.5246396263877336,0.20253614794903266,1.3177239645349654,SIGN,1
Pfam-CV,3,0.5336753801909616,0.20357391614347906,1.2968171682555811,SIGN,1
Pfam-CV,4,0.5319364580536495,0.21316172406168474,1.3090623540009076,SIGN,1
Pfam-CV,5,0.5544737733816136,0.24011831713622114,1.269668586783982,SIGN,1
Pfam-CV,6,0.5247133371296858,0.1669845337606779,1.3275889744855982,SIGN,1
Pfam-CV,7,0.5380714362105427,0.1977915765288536,1.3075918619837723,SIGN,1
Pfam-CV,8,0.5063449101657188,0.1496542711825304,1.3379782607924149,SIGN,1
Pfam-CV,9,0.5440981117284379,0.206510564263647,1.2908170826004808,SIGN,1
Pfam-CV,10,0.535809550233768,0.16654615979556367,1.3489424084806367,SIGN,1
Random-CV,1,0.723551947230713,0.4914483114441128,1.0207668431530177,SIGN,1
Random-CV,2,0.7291985387591207,0.5050697856889909,1.0073624216492674,SIGN,1
